theta_11,theta_12,theta_21,theta_22,classical_max_angle,quantum_max_angle,classical_max_value,quantum_max_value
2.0,1.0,1.5,2.0,153.45765744788113,143.2394487827058,2.678341384863124,2.5
2.0,1.0,1.5,2.25,160.371671098866,114.59155902616465,2.799013687600644,2.0
3.0,0.75,2.0,1.0,132.8304219380659,140.21046557597074,2.3183282096325577,2.447134270054857
3.0,0.75,2.0,1.5,151.42875394785963,151.91830574766763,2.6429303385825125,2.651474629348226
3.0,2.0,1.0,1.0,152.78874536821954,114.59155902616465,2.666666666666667,2.0
3.0,2.0,1.0,1.5,143.20446967433395,152.31709684811884,2.4993894993894994,2.658434847078751
1.5,0.0,0.75,1.0,157.71984968688977,143.22141212881567,2.752730672786774,2.4996852010035746
1.5,0.0,0.75,1.5,148.92263339027875,143.2394487827058,2.5991902834008096,2.5
1.0,0.0,3.0,3.0,117.1410797772325,114.59155902616465,2.044497531454053,2.0
1.0,0.75,0.75,2.0,143.9128549991429,143.23944878270584,2.5117531556802244,2.5000000000000004
1.0,0.75,0.75,2.25,143.32187557548357,142.41958971974722,2.5014386189258317,2.4856907599490574
1.0,3.0,3.0,0.0,152.29763868667882,139.64282329360853,2.658095238095238,2.437227043254101
1.0,3.0,3.0,0.75,158.66523557468952,136.61763626722805,2.769230769230769,2.3844275691551453
2.25,2.25,0.75,2.0,149.48321962708016,114.59155902616465,2.608974358974359,2.0
2.25,2.25,0.75,2.25,114.59155902616465,114.59155902616465,2.0,2.0
3.0,2.25,1.0,0.0,128.380323546346,159.80522105642206,2.2406593406593407,2.789127269311936
3.0,2.25,1.0,0.75,144.22546977876044,141.90536230766236,2.5172093128749475,2.476715798504167
0.75,0.0,0.75,1.0,149.04916069137502,114.59155902616465,2.6013986013986017,2.0
0.75,0.0,0.75,1.5,150.31489313335086,114.59155902616465,2.6234897999603883,2.0
1.0,0.75,3.0,3.0,135.05433742369405,114.59155902616465,2.357142857142857,2.0
2.25,2.0,2.0,0.0,142.44367406724632,142.85532498027118,2.486111111111111,2.4932957749122355
2.25,2.0,2.0,0.75,138.79672791137054,140.4913315560371,2.4224598930481283,2.452036306163856
